企业名称,企业logo,细分领域,细分领域（补充）,企业简介,产品介绍,企业优势tag,产品图片1,产品图片2,产品图片3,其他,fellow姓名,fellow联系方式
√北京无问芯穹科技有限公司,,AI基础设施,模型,以无穹大模型能效优化工具包为基础，整合国产芯片算力， 构建统一算力底座，提供包括NVIDIA、AMD、海光、天数等多种加速算力云服务，屏蔽硬件差异，开箱即用。面向大模型私有化部署场景，整合计算加速卡、自研IP、优化工具包、行业大模型，构建大模型一体机，最大化优化大模型落地ROI。创始团队成员来自清华大学电子系及头部互联网/AI企业，拥有丰富的产业经验和成功的创业经历，技术积累与学术沉淀丰富，已经在人工智能系统优化领域发表高水平学术论文200余篇。相关成果包括：（1）GPU高效算子库超越英伟达商用库，在中端工艺GPU上实现比商用软件在高端工艺GPU更优的性能；（2）支撑大模型的高效稀疏推理加速架构，提升稀疏神经网络、图神经网络等计算速度1-3个量级。团队已经实现大语言模型在英伟达GPU上延时降低50%，未来将进一步结合底层算子优化、稀疏加速、硬件特性感知、高效互联等能力，将整机加速比提升到10倍。,"Infini-AI异构云平台：基于多元芯片算力底座而打造，集“一站式AI平台”、“大模型服务平台”和“智算云管平台”为一体。
AIStudio一站式AI平台：为机器学习开发者提供高性价比的开发调试、分布式训练与高性能推理工具；
GenStudio大模型服务平台：为大模型应用开发者提供高性能、易上手、安全可靠的多场景大模型服务，覆盖了从大模型开发到服务化部署的全流程。
","多元异构；软硬协同；
高性能算力；",,,,无问芯穹由清华大学电子工程系系主任汪玉教授发起成立，拥有一支兼备高水准软硬件研发与强大工程实施能力的核心团队，汇集人工智能领域的深厚学术知识与丰富产业实践经验。核心团队成员源自源自海内外知名企业与顶级学府，研发人员占比超70%，硕博学历占比65%以上，其中清华大学占比35%以上，团队成员曾在阿里云、百度研究院、商汤、华为、腾讯、字节跳动、微软等企业承担关键职务，是APACHE、TensorFlow、ONNX、PyTorch、PyG等知名项目重要贡献者。,王珅,13141371727
√清昴智能科技（北京）有限公司,,AI基础设施,"算法,第三方服务","清昴智能是一家AI模型算力性能解决方案提供商，旨在为各行业客户提供顶尖的AI优化和工程化能力，致力于解决AIGC、自动驾驶、AIoT 等领域复杂AI模型的落地难、性能差、资源耗费高等问题。
截至目前，公司已获得包括来自百度前COO陆奇博士奇绩创坛、某世界500强头部国产芯片战投、达晨财智等一线基金投资在内的四轮共计近亿元融资。",公司已发布第一款面向LLM的自研算力优化工具链与平台产品-MLGuider ，填补LLM落地优化的空白，成为Nvidia、AMD、ARM在内的多家硬件厂商的重要合作伙伴。致力于大模型的快速高效落地，帮助企业客户完成智能化升级,"AI infra,大模型调优，算力调度",,,,清昴智能创始团队来自于清华大学计算机系，团队成员来自清华、交大、新国立、爱丁堡、华为、阿里、京东方、AMD等海内外知名高校和大厂，成立一年内获得来自多家一线基金的近亿元投资,王珅,13141371727
√ 北京共绩科技有限公司,,AI基础设施,算力,共绩科技聚焦于解决弹性计算需求，从0到1提出并构建了闲时算力共享平台，利用分散闲时算力解决灵活临时的算力需求，基于跨领域的融合创新，在闲时调度和设备兼容层面做到了全球唯一，商业化完成验证。积极响应国家战略，创新提出“以算代储”，利用算力任务分发代替电力传输，解决能源消纳问题，降低计算的边际成本，目前签约承建了青海省级智能绿色算力调度系统。,"虚拟机房：收集来自数据中心（中大型集群）、企业（小型集群）、个人（单机）等不同规模的闲时算力资源，再依托于SLM任务调度分发平台，为人工智能推理、云服务器部署、科学计算、CAE仿真、视频渲染等服务提供计算资源，接入方式包括Docker、Serverless、SSH、Kubernetes等。
专业的调度算法和系统工程，可实现细粒度的万卡级算力调度，利用分散闲置的算力资源为数家头部AIGC企业、数十个国内外教科研机构、数百位科研工作者每天提供灵活低价的算力服务，是目前全球唯一的纯闲时算力利用平台。
已实现万卡GPU共享，跑通了Whisper、SD等多种主流模型全流程，架构完善，能够轻松部署多模型。",弹性算力；稳定算力；免运维；,,,,团队成员主要来自清华大学、北京大学、北京其他高校及行业经验丰富的优秀人员，受教于中国工程院江亿院士、长江学者吴子牛教授，已申领发明专利3件、软件著作权2件、商标51件（有效注册12件）。,王珅,13141371727
√北京基流科技有限公司,,AI基础设施,算力,"基流科技成立于2023年2月，专注于中大规模智算集群的建设和运维，实现算力互联、调度与优化，提供从百卡到十万卡的全堆栈分布式异构解决方案。
基流面向新基建、新算力提供高速网络交换机与通信组件，满足大模型智算、超算中心的集群互联需求。基流专注于高性能计算和高性能网络领域，在计算机体系结构、分布式系统、网络通信方向有超过20年的产学研积累。基流通过网络自动化、网内计算和分布式计算通信等核心技术，为客户算力集群与运力网络的建设节省上千万元。","智算中心超互联解决方案Helios：产品适用于人工智能异构算力场景，大模型的训练、精调、推理等场景。具备低时延、大带宽、无阻塞，优化的算力通讯设计，支持异构融合，可规模扩展和可运维等能力，同时具有开放融合兼容自控的生态特点。
Venus智能管控平台：采用异构分布式计算框架，提供数据驱动的全方位、一体化的智算中心网络的智能运营、维护和监控。",信创异构；开放敏捷；规模扩展；,,,,,王珅,13141371727
√脉冲视觉（北京）科技有限公司,,AI基础设施,芯片,脉冲视觉(北京)科技有限公司成立于2021年10月，基于北京大学黄铁军教授发明的脉冲连续摄影原理，专注于超高速摄影芯片和显示芯片研制。不同于现有相机采用的定时曝光静态成像原理，脉冲连续成像原理在像素级用脉冲流逼近光的高速时空变化过程，专利在中、美、日、韩、欧授权。采用成熟集成电路工艺研制了高速视觉芯片、相机和机器视觉系统，能够实现超高速、高动态、无运动模糊连续成像，中国电子学会鉴定评价“该成果是超高速成像和机器视觉领域的重大原始创新，超高速成像技术达到国际领先水平”。,采用成熟集成电路工艺研制了高速视觉芯片、相机和机器视觉系统，能够实现超高速、高动态、无运动模糊连续成像。公司芯片和产品已在科研观测、工业检测和智能交通等领域应用，目前正在研制下一代脉冲视觉芯片，有望重塑视频和视觉技术和产业，市场应用前景广阔。,超高速；高动态；连续成像；,,,,"公司创始团队来自于北京大学，长期从事视觉技术研究和芯片研发，技术水平和研究成果国际领先，核心骨干来自于思特威、豪威、华为、高通、展讯等业内头部企业，具有丰富的产业经验。公司创始人黄铁军教授从事视觉信息处理研究近30年，在视频编解码标准制定、场景视频高效编码、视觉特征编码、类脑视觉等方面取得丰硕成果，曾获国家科学技术进步二等奖两次、国家技术发明二等奖一次。
 
公司荣誉：
•“脉冲连续摄影原理和相机”项目获得第49届日内瓦国际发明展最高级别奖项“特别嘉许金奖”
•北京市专精特新中小企业、北京市创新型中小企业
•脉冲视觉芯片和相机代表北京大学参加国家“十三五”科技创新成就展
•北京颠覆性技术创新基金“新曦基金”首批唯一最高档资助
•第十一届中国创新创业大赛北京赛区初创组一等奖
•脉冲视觉芯片入选2022年第四届“创世技”颠覆性创新榜10强
•2023年值得关注的硬科技创变者",辛雅倩,15210343977
√北京算力自由科技有限公司,,AI基础设施,算力,北京算力自由科技有限公司是国内领先的的GPU算力调度云平台，公司致力于构建算力算法淘宝网，打造和运营全球一流的算力&算法交易市场与AI社区生态，为用户提供便宜、易用、丰富、稳定、公平的算力和AI应用服务，让算力像电一样便捷、自由地使用！,"全球购，自由算：算力自由主要面向全球AI用户提供大模型微调和推理场景构建容器云调度服务平台，根据应用特点匹配算力,配备所需环境、工具、数据，提供开箱即用的GPU算力云服务，同时我们还可以提供主流国产算力适配服务。",开箱即用；弹性调用；高性价比,,,,"*项目背景：公司深度参与了鹏城实验室（国家先进信息技术实验室）主导的中国算力网（科技部重点国家课提）项目，承担了鹏城云脑算力运营、中国算力网商业运营，是鹏城实验室的战略合作伙伴。是中国算力网、教育部、发改委支持的 “算力助学计划”的首批发起成员单位，也是中国信通院算力方针的首批示范成员，和新华社财富传媒、华为、AMD公司、中科先进算法研究院、百度、世纪互联、三大运营商等均开展了深入的合作。
*技术优势：
1.KBS算力调度平台：平台以K8S调度平台为核心基础架构，跨区跨中心调度，简单易维护，对比虚拟机方案，负载率提高20%；
2.容器-镜像技术：平台以以容器-镜像技术为底层技术支撑，作为资源及应用开发的支撑来源，成熟稳定，资源复用率高；
3.弹性服务：平台以弹性算力资源为核心，提供提供弹性扩缩容和负载均衡服务，让使用平台进行开发更加方便快捷成本低。
4.支持函数计算：平台提供基于事件驱动的计算服务，用户可以编写和上传函数代码，当事件触发时，平台会自动执行这些函数代码，并返回结果。为开发人员提供了一种运行应用的抽象方式，可以在无需管理服务器的情况下响应事件。",辛雅倩,15210343977
√寒序科技（北京）有限公司,,AI基础设施,芯片,寒序科技是一家由北京大学物理学院应用磁学中心倾力支持与扶持的，为云计算提供专用算力的芯片研发企业，致力于从新物理原理和非硅基材料上颠覆传统计算架构。寒序科技算力可以迅速部署于药物研发、金融、交通、通信、AI、区块链以及航空航天和军工等场景下的组合优化相关问题。,"
寒序科技概率计算芯片基于自旋电子学新原理器件——随机磁性隧道结，利用自旋进行基于马尔科夫链和蒙塔卡洛的高性能伊辛求解计算。",算力芯片；,,,,寒序科技已于今秋完成一轮市场化融资，投资方为国内知名人民币基金，投后估值数千万元人民币。相比量子计算，寒序科技是室温的、稳定的、CMOS兼容且可拓展的，在成本和更大规模计算上优于绝热量子计算机，体现“概率优越性”。,杨超辰,18810890511
√趋境科技,,AI基础设施,,,趋境科技推出搭载自研高性能推理引擎产品“大模型知识推理一体机”，为企业提供高性能、低成本、高效率的大模型推理平台，开箱即用，本地化部署成本降低10倍以上：支持本地部署数百亿级别的一线大模型；提供开放的API接口对接现有业务；内置智能搜索、内容创作等基础应用，无需开发即可使用。一体机的发布为企业实现大模型的高效落地提供了全新选择，开启了通向“推理自由”的新途径。,,,,,,,
√凌晨极光,,场景应用,第三方服务,凌晨极光科技有限公司，集齐一帮具体有丰富实践经验互联网老兵，投身AI创业，为企业TOB的AI场景赋能，目前在办公场景孵化出本地化部署AI智能问答，专项写作助手，AI智能问数等产品，已与北京城建设计发展集团，北京航天某研究所，北京昭天下，北京勘察设计研究院等企业展开合作，并落地应用,"智能问答：为企业提供本地化部署，基于企业核心知识，提供智能问答产品，并提供专项场景智能体开发；
专项写作：解决包含Excel数据，图表，文本，图片等复杂场景专项报告编写，批量化一键式创作，大幅降本增效
智能问数：为企业用户个性化数据查询分析场景赋能，快速基于自然语言，查询数据并提供可视化图表展示与智能数据分析",本地化部署，数据安全，AI定制研发,,,,"团队成员均来自阿里，美团等互联网大厂、在大模型、图像识别、平台开发、大数据等领域具有丰富的实战经验；中关村东升集团AI人工智能创业孵化企业团队荣誉
服务企业、工信部《AI内容创作师》标准制定核心成员",霍昺阳,19931045178
√√星测未来科技（北京）有限责任公司- 产品合一,,场景应用,场景应用,"星测未来成立于2020年，致力于利用前沿AI科技，赋能通讯、遥感和科学实验等整个航天产业链及航空、地面场景的其他高端装备领域。
公司核心技术优势包括高可靠边缘异构计算、高性能算法及软硬件协同优化能力，面向国防、应急等高时效业务和民商智能化服务，提供软硬件一体的算力平台+AI处理解决方案。
","星测系列·一站式太空实验解决方案：基于自研数据采集与处理平台及“笼屉式”可扩展架构设计，提供空间科学探测及技术试验载荷的研制服务；
星溪系列·天基计算智能载荷 ：基于高可靠边缘异构计算、高性能算法及软硬件协同优化能力，面向国防、应急等高时效业务和民商智能化服务；
海月天基·计算仿真平台：首款聚焦星上处理场景的地面仿真软硬件一体解决方案，构成包含智能计算载荷、卫星数据模拟器和可视化中控软件平台。",商业航天；边缘异构计算；软硬件一体；,,,,"星测未来团队为清华跨学科交叉背景，在人工智能与商业航天交叉方面具有综合优势，具有多年空间科学和AI软硬件协同加速经验，具有两三年的先发优势；
公司在星载智能计算平台、AI遥感图像处理、边缘端算法加速方面已获得32个软著、5个发明专利。并获得多个重量级创新创业大赛和评选的认可和肯定；
获得第九届“东升杯”国际创业一等奖、中国创新挑战赛暨中关村新兴领域专题赛总赛第一名 、第二届“京彩大创”北京大学生创新创业大赛总决赛冠军以及全球未来太空创新挑战赛一等奖等奖项。",王珅,13141371727
